profile,variant,drop_feature,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std,topk_mean,topk_std,best_f1_mean,best_f1_std,best_f1_epoch_mean,best_f1_epoch_std,epoch_to_f1_095_mean,epoch_to_f1_095_std,epoch_to_f1_099_mean,epoch_to_f1_099_std,mean_f1_over_epochs_mean,mean_f1_over_epochs_std,final_train_loss_mean,final_train_loss_std,loss_reduction_mean,loss_reduction_std
gpu,full,none,3,0.7810,0.1400,0.3333,0.5774,0.2696,0.4670,0.2922,0.5060,0.2341,0.0081,0.2429,0.1671,0.8675,0.2171,0.2922,0.5060,1.0000,0.0000,-1,0,-1,0,0.2922,0.5060,0.7078,0.0184,0.0000,0.0000
gpu,w/o dispersion,dispersion,3,0.5671,0.2314,0.1666,0.1527,0.3344,0.5764,0.1559,0.2645,0.2371,0.0200,0.1821,0.0538,0.9812,0.0248,0.1559,0.2645,1.0000,0.0000,-1,0,-1,0,0.1559,0.2645,0.7340,0.0462,0.0000,0.0000
gpu,w/o match ratio,match,3,0.6271,0.2975,0.4333,0.5132,0.5346,0.5036,0.3968,0.3687,0.2393,0.0170,0.2424,0.1226,0.9933,0.0028,0.3968,0.3687,1.0000,0.0000,-1,0,-1,0,0.3968,0.3687,0.7286,0.0384,0.0000,0.0000
gpu,w/o mismatch ratio,mismatch,3,0.6241,0.2938,0.4333,0.5132,0.5248,0.5018,0.3840,0.3518,0.2378,0.0217,0.2356,0.1195,0.9394,0.1010,0.3840,0.3518,1.0000,0.0000,-1,0,-1,0,0.3840,0.3518,0.7361,0.0497,0.0000,0.0000
