profile,topology,variant,drop_feature,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std,topk_mean,topk_std,best_f1_mean,best_f1_std,best_f1_epoch_mean,best_f1_epoch_std,epoch_to_f1_095_mean,epoch_to_f1_095_std,epoch_to_f1_099_mean,epoch_to_f1_099_std,mean_f1_over_epochs_mean,mean_f1_over_epochs_std,final_train_loss_mean,final_train_loss_std,loss_reduction_mean,loss_reduction_std
gpu,"AQ(5,4)",full,none,1,0.94267578125,0.0,1.0,0.0,0.8087947882736156,0.0,0.8764720211648944,0.0,0.2433384387495119,0.0,0.43582571574661416,0.0,0.9980456026058631,0.0,0.8764720211648944,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.8764720211648944,0.0,0.7287760972976685,0.0,0.0,0.0
gpu,"AQ(5,4)",w/o dispersion,dispersion,1,0.701171875,0.0,0.2,0.0,0.003257328990228013,0.0,0.006394082597082391,0.0,0.24284948093157238,0.0,0.189826508963597,0.0,0.9527687296416939,0.0,0.006394082597082391,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.006394082597082391,0.0,0.7376466691493988,0.0,0.0,0.0
gpu,"AQ(5,4)",w/o match ratio,match,1,0.88125,0.0,1.0,0.0,0.6039087947882736,0.0,0.728952116767733,0.0,0.24128381368650142,0.0,0.37212453089887276,0.0,0.996416938110749,0.0,0.728952116767733,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.728952116767733,0.0,0.7258888185024261,0.0,0.0,0.0
gpu,"AQ(5,4)",w/o mismatch ratio,mismatch,1,0.87236328125,0.0,1.0,0.0,0.5742671009771987,0.0,0.6907984761912994,0.0,0.2378413770028549,0.0,0.3596487303089816,0.0,1.0,0.0,0.6907984761912994,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.6907984761912994,0.0,0.7244315445423126,0.0,0.0,0.0
gpu,Q10,full,none,1,0.7001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286640074185553,0.0,0.1490876309631858,0.0,0.9876221498371336,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.6947813630104065,0.0,0.0,0.0
gpu,Q10,w/o dispersion,dispersion,1,0.2998046875,0.0,0.2998046875,0.0,1.0,0.0,0.4613072877535688,0.0,0.25364270896882257,0.0,0.23170472004567272,0.0,0.9980456026058631,0.0,0.4613072877535688,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.4613072877535688,0.0,0.7782259285449982,0.0,0.0,0.0
gpu,Q10,w/o match ratio,match,1,0.2998046875,0.0,0.2998046875,0.0,1.0,0.0,0.4613072877535688,0.0,0.25524190157172255,0.0,0.22664353932486847,0.0,0.9921824104234528,0.0,0.4613072877535688,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.4613072877535688,0.0,0.7683558762073517,0.0,0.0,0.0
gpu,Q10,w/o mismatch ratio,mismatch,1,0.2998046875,0.0,0.2998046875,0.0,1.0,0.0,0.4613072877535688,0.0,0.25959468538757935,0.0,0.22585811458993704,0.0,0.822801302931596,0.0,0.4613072877535688,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.4613072877535688,0.0,0.7906273603439331,0.0,0.0,0.0
gpu,Q4^5,full,none,1,0.7001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23020052428119442,0.0,0.14381954084674362,0.0,0.6169381107491858,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.6997085809707642,0.0,0.0,0.0
gpu,Q4^5,w/o dispersion,dispersion,1,0.7001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21483658286633434,0.0,0.12488385103933979,0.0,0.9928338762214984,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.6860942542552948,0.0,0.0,0.0
gpu,Q4^5,w/o match ratio,match,1,0.7001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22150441540377136,0.0,0.12839438233349937,0.0,0.9912052117263844,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.6916165947914124,0.0,0.0,0.0
gpu,Q4^5,w/o mismatch ratio,mismatch,1,0.7001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21610543436222063,0.0,0.12131397701159585,0.0,0.9954397394136807,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.6932878792285919,0.0,0.0,0.0
