profile,topology,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std
cpu,"AQ(2,4)",Clustered-PMC,3,0.8385333333333334,0.010900152904126338,0.8722,0.03470778010763579,0.48333333333333334,0.034831355605737385,0.5900333333333333,0.03658501514737057,0.16146666666666668,0.010900152904126305
cpu,"AQ(2,4)",UP-GDN,3,0.9996666666666667,0.0005773502691896262,0.9990666666666667,0.0016165807537309664,1.0,0.0,0.9995,0.0008660254037844074,0.0003333333333333333,0.0005773502691896258
cpu,"AQ(2,6)",Clustered-PMC,3,0.8555666666666667,0.004875790534193733,0.9883666666666666,0.010102639919017877,0.5278,0.015780684395804878,0.6457333333333333,0.01718846512441799,0.14443333333333333,0.004875790534193754
cpu,"AQ(2,6)",UP-GDN,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
cpu,"AQ(3,4)",Clustered-PMC,3,0.7881666666666667,0.015239860016854914,0.9389,0.02546605583909689,0.28653333333333336,0.05134212046004074,0.39713333333333334,0.057326288326851715,0.21183333333333332,0.015239860016854918
cpu,"AQ(3,4)",UP-GDN,3,0.9999,0.00017320508075686865,0.9997333333333334,0.00046188021535171385,1.0,0.0,0.9998666666666667,0.00023094010767582486,9.999999999999999e-05,0.0001732050807568877
cpu,"K(2,4)",Clustered-PMC,3,0.8826666666666667,0.018766281819618216,0.9736,0.013407833531186113,0.6277666666666667,0.060529772288794643,0.7263000000000001,0.05284609730150371,0.11733333333333333,0.018766281819618227
cpu,"K(2,4)",UP-GDN,3,0.9996666666666667,0.0005773502691896262,1.0,0.0,0.9989,0.0019052558883257474,0.9993666666666666,0.0010969655114602963,0.0003333333333333333,0.0005773502691896258
cpu,"K(2,6)",Clustered-PMC,3,0.8799333333333333,0.008152504727587303,0.9709,0.007709085548883203,0.6202,0.028053342046893415,0.7302333333333334,0.014260551648983742,0.12006666666666667,0.008152504727587308
cpu,"K(2,6)",UP-GDN,3,0.9981333333333333,0.0004509249752822972,0.9986,0.0024248711305964177,0.9954666666666667,0.0015502687938977943,0.9969,0.0006557438524302379,0.0015999999999999999,0.0003464101615137755
cpu,"K(3,4)",Clustered-PMC,3,0.8467,0.011887388274974448,0.9980666666666667,0.0026857649437978227,0.4848,0.03895548741833427,0.6139666666666667,0.033831395675220526,0.1533,0.011887388274974448
cpu,"K(3,4)",UP-GDN,3,0.9997333333333334,0.0002516611478423306,0.9994333333333333,0.000981495457622384,0.9997,0.0005196152422706701,0.9995333333333334,0.00045092497528229314,0.0002666666666666667,0.00025166114784235834
cpu,Q4,Clustered-PMC,3,0.8590333333333333,0.01686248301209918,0.9188999999999999,0.0111906210730236,0.5566666666666666,0.05782926018317488,0.6587000000000001,0.04703923893942161,0.14096666666666666,0.016862483012099166
cpu,Q4,UP-GDN,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
cpu,Q5,Clustered-PMC,3,0.8545,0.003903844259188587,0.9819333333333333,0.0023671361036774613,0.535,0.013299999999999979,0.6555333333333333,0.015313175155183668,0.1455,0.0039038442591886272
cpu,Q5,UP-GDN,3,0.9996666666666667,0.0005773502691896262,0.9995,0.0008660254037844074,0.9994333333333333,0.000981495457622384,0.9994333333333333,0.000981495457622384,0.00016666666666666666,0.0002886751345948129
cpu,Q6,Clustered-PMC,3,0.8537666666666667,0.010457692543450173,0.9997,0.0005196152422706701,0.5076,0.03546364335485006,0.6320333333333333,0.02883961395950602,0.14623333333333333,0.010457692543450168
cpu,Q6,UP-GDN,3,0.9998,0.00017320508075686865,1.0,0.0,0.9994,0.0005196152422706701,0.9996666666666667,0.0002886751345947811,0.00013333333333333334,0.00011547005383792516
