epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6167209698603704,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.7001953125,0.0,0.0,0.0,0.15500017884831366,0.3452143840270583,0.9981758957654722,0.93916015625,1.0,0.7970684039087947,0.8693245610301819,0.0698095025099018,0.20551595852969715,0.998403908794788,0.9469184873126179,1.0,0.0
5,0.00610769079783215,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999697265625,0.9993831168831169,0.9996091205211727,0.9994950851015082,0.00019856397017025047,0.0005362981660156485,1.0,1.0,1.0,1.0,1.0,1.56410112937219e-07,5.757080074668036e-05,1.0,0.002989380413615964,0.27,0.0
10,0.0018860783983165254,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999921875,0.9998376623376624,0.9999022801302931,0.9998697595458826,6.0518550187870603e-05,0.00017112669673982056,1.0,1.0,1.0,1.0,1.0,2.7816470667532447e-09,1.749758361133238e-05,1.0,0.0007748319641523525,0.08,0.0
15,0.0012102344995722747,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.9999609375,0.9999350649350649,0.9999348534201954,0.9999348532473905,3.351753526451082e-05,0.00010569949299036639,1.0,1.0,1.0,1.0,1.0,5.4833615807414996e-09,8.202582534264875e-06,1.0,0.0003874159820761762,0.04,0.0
20,0.0008454104110849305,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,2.2842375581532925e-05,8.318544422470545e-05,1.0,1.0,1.0,1.0,1.0,3.2913653398456314e-08,5.815816887072174e-06,1.0,0.00019417475728155338,0.02,0.0
25,0.0007212259739529914,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.8599014783500646e-05,6.35674614849525e-05,1.0,1.0,1.0,1.0,1.0,1.1876871058326394e-07,4.040685253878955e-06,1.0,0.00019417475728155338,0.02,0.0
30,0.0006674286000466404,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.6248302064706677e-05,5.6975508249608675e-05,1.0,1.0,1.0,1.0,1.0,2.0577932210522313e-07,3.66620219897997e-06,1.0,0.00019324122479462286,0.02,0.0
35,0.0005863912172991639,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.5928393138818707e-05,5.676035691986889e-05,1.0,1.0,1.0,1.0,1.0,3.6658212873788024e-07,4.244069421979779e-06,1.0,0.00019324122479462286,0.02,0.0
40,0.0004232717961153517,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.3839922384873709e-05,4.8268898884108856e-05,1.0,1.0,1.0,1.0,1.0,7.702803151989536e-07,5.234073580245393e-06,1.0,9.708737864077669e-05,0.01,0.0
45,0.0004491212382093251,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.288553577804339e-05,4.4815086867750024e-05,1.0,1.0,1.0,1.0,1.0,5.168307437608387e-07,4.251187762655289e-06,1.0,9.708737864077669e-05,0.01,0.0
50,0.00034651900149093795,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.335267980200606e-05,4.2363593017228565e-05,1.0,1.0,1.0,1.0,1.0,3.6897431720763005e-07,3.7965505230950998e-06,1.0,9.708737864077669e-05,0.01,0.0
55,0.0003245225615011385,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.2470199407128848e-05,4.0657871722217584e-05,1.0,1.0,1.0,1.0,1.0,3.383617204564801e-07,3.5836863986335274e-06,1.0,9.708737864077669e-05,0.01,0.0
60,0.00038306686977963324,graphsage,match,kary_n5_k4_run1_train,kary_n5_k4_run1_test,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,1.1498518197184453e-05,3.418311057042534e-05,1.0,1.0,1.0,1.0,1.0,5.925170570496912e-08,1.494867907587795e-06,1.0,9.708737864077669e-05,0.01,0.0
