epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.5978928437599769,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.7001953125,0.0,0.0,0.0,0.15438885675687203,0.34301349833142014,0.9999674267100978,0.803232421875,1.0,0.34368078175895783,0.5105003477321277,0.11454383563518233,0.278955606945965,0.9999674267100978,1.0,1.0,0.0
5,0.002021045938958056,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.9999609375,1.0,0.9998697068403908,0.9999347471451876,3.680882458040362e-05,0.00013959088215658878,1.0,1.0,1.0,1.0,1.0,7.629446012415097e-10,8.90082610394977e-06,1.0,0.0003865002311604253,0.04,0.0
10,0.0005109334989146402,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,2.2390308951900153e-05,5.1000834040962406e-05,1.0,1.0,1.0,1.0,1.0,5.662593490146844e-11,2.9020334202776553e-06,1.0,0.00019417475728155338,0.02,0.0
15,0.0003895652690306843,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.999970703125,1.0,0.9999022801302931,0.9999510603588907,2.5615858649762018e-05,4.5863560008887256e-05,1.0,1.0,1.0,1.0,1.0,1.608629503086085e-11,1.4398928748938027e-06,1.0,0.00029032860343539954,0.03,0.0
20,0.0002716228093329566,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,2.2782767206393294e-05,3.777427437017948e-05,1.0,1.0,1.0,1.0,1.0,8.46361427354988e-12,1.0052911266589911e-06,1.0,0.00019417475728155338,0.02,0.0
25,0.00023770789210595048,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,2.278076033295126e-05,3.476476975785184e-05,1.0,1.0,1.0,1.0,1.0,2.706544777538325e-12,5.219316700372498e-07,1.0,0.00019417475728155338,0.02,0.0
30,0.00015863385110256227,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.706112582667471e-05,2.583922037548308e-05,1.0,1.0,1.0,1.0,1.0,1.1232293838773895e-12,3.274578510573736e-07,1.0,0.00019417475728155338,0.02,0.0
35,0.0001002790049824398,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,2.0910686985655433e-05,3.116949949934253e-05,1.0,1.0,1.0,1.0,1.0,1.5235952166436314e-12,3.6554475639738717e-07,1.0,0.00019417475728155338,0.02,0.0
40,0.00011311994033418999,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.999951171875,1.0,0.9998371335504885,0.9999184339314846,2.9441241455666193e-05,4.080694546737996e-05,1.0,1.0,1.0,1.0,1.0,1.0748708307065883e-12,2.948418750706751e-07,1.0,0.0004835698282300224,0.05,0.0
45,6.897214955013344e-05,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,2.299353450607973e-05,3.370906286445174e-05,1.0,1.0,1.0,1.0,1.0,1.5974698713298053e-12,3.4938281637688617e-07,1.0,0.00019417475728155338,0.02,0.0
50,7.950603552532042e-05,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.6005307285641312e-05,2.2448064123347693e-05,1.0,1.0,1.0,1.0,1.0,6.785781003135765e-13,2.256047036784236e-07,1.0,0.00019417475728155338,0.02,0.0
55,7.285991596990453e-05,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.818052765068499e-05,2.4962293586641417e-05,1.0,1.0,1.0,1.0,1.0,6.071771541429792e-13,2.0189682842071524e-07,1.0,0.00019417475728155338,0.02,0.0
60,5.0847459603503994e-05,graphsage,dispersion,augmented_kary_n5_k4_run2_train,augmented_kary_n5_k4_run2_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.6091041456221843e-05,2.2089861867863798e-05,1.0,1.0,1.0,1.0,1.0,3.4512856176634683e-13,1.4782100799486175e-07,1.0,0.00019417475728155338,0.02,0.0
