epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.6263657441506019,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,0.7001953125,0.0,0.0,0.0,0.18344586228110188,0.24264109823474428,0.9994788273615635,0.80078125,1.0,0.3355048859934855,0.5024390243902437,0.1357049427283915,0.1799275754528935,0.9994788273615635,1.0,1.0,0.0
5,0.006399218100481308,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,0.999912109375,1.0,0.9997068403908793,0.9998531277655163,7.60681180181932e-05,0.0003580273212160243,1.0,1.0,1.0,1.0,1.0,8.865907348558475e-08,6.369711311773338e-05,1.0,0.0008664065524754296,0.08,0.0
10,0.0012117242530131568,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,0.99994140625,1.0,0.9998045602605862,0.9999021207177813,3.087853364743199e-05,9.762693710472748e-05,1.0,1.0,1.0,1.0,1.0,2.1405549074033367e-09,1.78423609309794e-05,1.0,0.0005797236743838685,0.06,0.0
15,0.0007656459739127269,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,0.999970703125,1.0,0.9999022801302931,0.9999510603588907,2.0922287448719572e-05,5.81719459805859e-05,1.0,1.0,1.0,1.0,1.0,4.2390789400169373e-10,6.970088476615573e-06,1.0,0.00029126213592233006,0.03,0.0
20,0.0004310797980556694,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,0.99998046875,1.0,0.9999348534201954,0.9999673735725938,1.2197529308254259e-05,3.517174508931928e-05,1.0,0.999990234375,1.0,0.9999674267100978,0.9999836867862969,2.4912817229393512e-06,7.388785754184343e-06,1.0,9.708737864077669e-05,0.01,0.0
25,0.0002652306838381964,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,1.303139988151987e-06,1.0933776394132007e-05,1.0,1.0,1.0,1.0,1.0,1.9512997759526571e-07,2.423361038597143e-06,1.0,0.0,0.0,0.0
30,0.0003154086421440857,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,2.485987769493958e-06,1.4518506034762557e-05,1.0,1.0,1.0,1.0,1.0,4.7250815371028335e-07,3.3620617122386545e-06,1.0,0.0,0.0,0.0
35,0.00015378081703742142,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,1.6738334247598217e-06,1.1794134677750308e-05,1.0,1.0,1.0,1.0,1.0,2.248690746847876e-11,1.096667976457132e-06,1.0,0.0,0.0,0.0
40,0.00012196696283913647,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,5.517834022539946e-07,7.008945134938338e-06,1.0,1.0,1.0,1.0,1.0,8.250908808681756e-08,1.6280679482784967e-06,1.0,0.0,0.0,0.0
45,0.00010280597640443235,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,2.437677115908714e-08,2.099741624143721e-06,1.0,1.0,1.0,1.0,1.0,2.2218106591220987e-12,3.069854684973398e-07,1.0,0.0,0.0,0.0
50,0.00010560205450579255,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,1.9872049986405724e-08,1.7995716192684662e-06,1.0,1.0,1.0,1.0,1.0,1.6549198571644868e-12,2.4601175999199416e-07,1.0,0.0,0.0,0.0
55,3.369008448736657e-05,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,3.484164848447285e-08,2.221984379534974e-06,1.0,1.0,1.0,1.0,1.0,1.7114110450575248e-08,6.893440857506985e-07,1.0,0.0,0.0,0.0
60,5.4155897837168035e-05,graphsage,mismatch,augmented_kary_n5_k4_run3_train,augmented_kary_n5_k4_run3_test,1.0,1.0,1.0,1.0,2.6749474735152904e-08,1.4211768260585508e-06,1.0,1.0,1.0,1.0,1.0,7.91334839686598e-13,1.484838827200919e-07,1.0,0.0,0.0,0.0
