epoch,train_loss,backbone,drop_feature,dataset,test_dataset,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_brier,raw_ece,raw_topk,refined_accuracy,refined_precision,refined_recall,refined_f1,refined_brier,refined_ece,refined_topk,refinement_change_rate,refinement_corrected_rate,refinement_wrong_flip_rate
1,0.7168683665139335,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.703125,0.0,0.0,0.0,0.21634776460277663,0.14827849165070803,0.9894736842105263,0.703125,0.0,0.0,0.0,0.21634776460277663,0.14827849165070803,0.9894736842105263,0.0,0.0,0.0
5,0.19487519562244415,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.990625,0.9882817521745539,0.9805263157894737,0.9837318752937948,0.01540333200718399,0.07258771009233897,0.9926315789473685,0.99953125,0.9984999999999999,1.0,0.9992307692307694,0.0049974727921315385,0.04491311816497124,0.9994736842105263,0.06356962481962482,0.33,0.0
10,0.013048636061804635,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99890625,0.9995,0.9968421052631578,0.9981069531069531,0.0009854053544583936,0.002288549434594246,1.0,0.99984375,0.9995,1.0,0.9997435897435898,8.066410244795856e-05,0.000298442275995621,1.0,0.008392857142857141,0.05,0.0
15,0.010251088167673774,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9990625,0.9995,0.9973684210526315,0.9983772233772235,0.0008441234891336007,0.0019286761786965194,1.0,0.99984375,0.9995,1.0,0.9997435897435898,8.110138828398905e-05,0.00029851849929707217,1.0,0.007142857142857142,0.04,0.0
20,0.007090709696058184,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99921875,0.9995,0.9978947368421052,0.9986474936474936,0.0008028216252032401,0.0018693432806395531,1.0,1.0,1.0,1.0,1.0,3.8263177344516726e-05,0.00025787756205508314,1.0,0.007142857142857142,0.04,0.0
25,0.0057171765615099245,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99921875,0.9990000000000001,0.9984210526315789,0.9986763686763687,0.0005340155112767771,0.0012804428738832038,1.0,0.99984375,0.9995,1.0,0.9997435897435898,4.606478999784215e-05,0.0001731280537128976,1.0,0.005357142857142857,0.04,0.0
30,0.004796348927941706,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.999375,0.9995,0.9984210526315789,0.9989327789327789,0.0005218351485706957,0.0012635266251316496,1.0,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.00015276104957327003,0.0002636669552015143,1.0,0.006964285714285714,0.04,0.01
35,0.0019408552408484475,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99921875,0.9990000000000001,0.9984210526315789,0.9986763686763687,0.00046250338920550123,0.0011374486468901338,1.0,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.00014083687963729102,0.000229188065725834,1.0,0.007896825396825397,0.05,0.01
40,0.0044441264721431905,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.999375,0.9985,0.9994736842105263,0.998960498960499,0.00038604985343357697,0.001012591546220475,1.0,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.0001281481894553139,0.00020401330043533288,1.0,0.006607142857142857,0.04,0.01
45,0.002355484474849488,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99953125,1.0,0.9984210526315789,0.9991891891891892,0.00042393196570861854,0.0011355447136733611,1.0,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.00014851641571193158,0.0002452983214471852,1.0,0.005396825396825396,0.03,0.01
50,0.0025956516827656223,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.999375,0.9985,0.9994736842105263,0.998960498960499,0.0003900532315023473,0.0008316275627104141,1.0,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.0001302450040234817,0.00022677852375141023,1.0,0.007142857142857142,0.04,0.01
55,0.002193496670640473,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.0003495163377470241,0.0008996013297150458,1.0,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.00013866379824760948,0.00020080370254714483,1.0,0.002857142857142857,0.01,0.01
60,0.0014161636271247907,graphsage,match,hypercube_n6_run1_train,hypercube_n6_run1_test,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.00030927280695686936,0.0007996997687204844,1.0,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.00012989645409513886,0.0001931385021319969,1.0,0.004107142857142857,0.02,0.01
