profile,family,topology,backbone,run,seed,accuracy,precision,recall,f1,brier,ece,topk,best_f1,best_f1_epoch,epoch_to_f1_095,epoch_to_f1_099,mean_f1_over_epochs,final_train_loss,loss_reduction
gpu,hypercube,Q6,gcn,1,10300,0.84375,0.9714285714285715,0.48421052631578937,0.6284804850322091,0.10999148194425616,0.23066441705450416,0.9368421052631579,0.9945945945945945,5,5,5,0.536922708233053,0.5206053256988525,0.19817882776260376
gpu,hypercube,Q6,graphsage,1,10300,0.9375,1.0,0.7894736842105263,0.8692403323954722,0.05106037321708941,0.16458344720347812,0.9894736842105264,0.8692403323954722,20,-1,-1,0.5225064399417886,0.46171456575393677,0.2823723554611206
gpu,hypercube,Q6,gat,1,10300,0.928125,0.9818181818181818,0.7684210526315789,0.8496969696969696,0.07436159636352045,0.1902571721007637,0.9789473684210526,0.9945945945945945,5,5,5,0.5842429282429282,0.5055647492408752,0.1918649673461914
gpu,hypercube,Q6,gcn,2,11303,0.815625,0.9714285714285715,0.3894736842105263,0.5533156498673739,0.1274075607869138,0.24473425061441959,0.968421052631579,0.5533156498673739,20,-1,-1,0.4275862068965517,0.5454952716827393,0.14460086822509766
gpu,hypercube,Q6,graphsage,2,11303,0.815625,0.9714285714285715,0.3894736842105263,0.5533156498673739,0.11179035041785719,0.2293075853958726,0.968421052631579,0.9710651828298887,10,10,-1,0.5773781625354244,0.5110624432563782,0.25746023654937744
gpu,hypercube,Q6,gat,2,11303,0.80625,0.9714285714285715,0.35789473684210527,0.5230769230769231,0.13866270653816462,0.08076016679406166,0.9368421052631579,0.5230769230769231,10,-1,-1,0.32546520146520147,0.5832873582839966,0.15639346837997437
gpu,hypercube,Q6,gcn,3,12306,0.815625,1.0,0.3789473684210526,0.5492877492877493,0.11660317843228518,0.25629668082110585,0.9789473684210528,0.9192818028112146,5,-1,-1,0.5060216027274851,0.5322396159172058,0.18964970111846924
gpu,hypercube,Q6,graphsage,3,12306,1.0,1.0,1.0,1.0,0.01622445938449881,0.09873616592822462,1.0,1.0,20,10,20,0.6712393545496994,0.4141559898853302,0.29255667328834534
gpu,hypercube,Q6,gat,3,12306,0.8125,1.0,0.3684210526315789,0.5384615384615384,0.13461192870751404,0.22183506786823273,0.9894736842105264,1.0,10,10,10,0.5069508804448564,0.5833582282066345,0.17875134944915771
gpu,kary,Q8^2,gcn,1,10309,0.8,0.9428571428571428,0.34736842105263155,0.5076923076923077,0.13292705895507964,0.2369973505847156,0.8736842105263157,0.5601139601139601,5,-1,-1,0.42279202279202277,0.5497965812683105,0.1343991756439209
gpu,kary,Q8^2,graphsage,1,10309,0.80625,0.9714285714285715,0.35789473684210527,0.523076923076923,0.11455785694171128,0.2568294986151159,0.9894736842105264,0.9545486663133722,10,10,-1,0.4049195532299412,0.5200260877609253,0.22447675466537476
gpu,kary,Q8^2,gat,1,10309,0.80625,0.9714285714285715,0.35789473684210527,0.523076923076923,0.1330859351006563,0.14392713541164995,0.9052631578947368,0.7094535187433322,1,-1,-1,0.45573685759482024,0.5691966414451599,0.15056490898132324
gpu,kary,Q8^2,gcn,2,11312,0.934375,0.9376292335115866,0.8421052631578947,0.8775600183384696,0.060800975083970143,0.1431503263381398,0.9052631578947368,0.8775600183384696,20,-1,-1,0.6364570997805254,0.4661366641521454,0.2223680317401886
gpu,kary,Q8^2,graphsage,2,11312,0.98125,0.952200956937799,0.9894736842105264,0.9697113327408576,0.04192108313033829,0.14042048404265625,0.968421052631579,0.9697113327408576,20,15,-1,0.7673479940926851,0.410569429397583,0.32766199111938477
gpu,kary,Q8^2,gat,2,11312,0.8875,0.961111111111111,0.6421052631578947,0.7598665183537262,0.08813189949981384,0.1595600771019265,0.8736842105263157,0.8173137897995583,10,-1,-1,0.5411452160311033,0.49484044313430786,0.226790189743042
gpu,kary,Q8^2,gcn,3,12315,0.80625,0.9714285714285715,0.35789473684210527,0.523076923076923,0.14177529354562038,0.2973225399851799,0.968421052631579,0.6827614379084966,15,-1,-1,0.45811357526637464,0.5727379322052002,0.17379939556121826
gpu,kary,Q8^2,graphsage,3,12315,0.825,0.9800000000000001,0.42105263157894735,0.5866124935090451,0.11816165026493239,0.26442516027018426,0.968421052631579,0.9783625730994151,10,10,-1,0.5221275538405339,0.5288038849830627,0.20127511024475098
gpu,kary,Q8^2,gat,3,12315,0.8125,1.0,0.3684210526315789,0.5384615384615384,0.13882195863365385,0.03627805542200806,0.9894736842105264,0.9840682788051209,10,10,-1,0.5037645362058806,0.5898733139038086,0.1587681770324707
gpu,augmented_kary,"AQ(2,8)",gcn,1,10318,0.825,1.0,0.41052631578947374,0.5809930809930809,0.12210912700132122,0.2611677280627191,0.9894736842105264,0.670242656449553,5,-1,-1,0.4656317628731422,0.5445746779441833,0.17048054933547974
gpu,augmented_kary,"AQ(2,8)",graphsage,1,10318,1.0,1.0,1.0,1.0,0.02827218776912611,0.13273067407422984,1.0,1.0,20,20,20,0.5671957671957671,0.41760990023612976,0.3049199879169464
gpu,augmented_kary,"AQ(2,8)",gat,1,10318,0.8125,1.0,0.3684210526315789,0.5384615384615384,0.13300585432244957,0.2619344171136618,1.0,0.6856233421750664,10,-1,-1,0.4440755488798696,0.5726901292800903,0.17369043827056885
gpu,augmented_kary,"AQ(2,8)",gcn,2,11321,0.84375,1.0,0.47368421052631576,0.6343341683858925,0.11261030355055737,0.20117981317453087,0.9684210526315787,0.6343341683858925,20,-1,-1,0.4499437567541016,0.5335283279418945,0.15041154623031616
gpu,augmented_kary,"AQ(2,8)",graphsage,2,11321,1.0,1.0,1.0,1.0,0.042956640301617076,0.16893872312435954,1.0,1.0,20,10,20,0.8055256870315693,0.3330731689929962,0.3750140368938446
gpu,augmented_kary,"AQ(2,8)",gat,2,11321,0.8125,1.0,0.3684210526315789,0.5384615384615384,0.12949884266464595,0.2639640996232629,0.9789473684210526,0.5384615384615384,15,-1,-1,0.41156626506024097,0.5622948408126831,0.2665892243385315
gpu,augmented_kary,"AQ(2,8)",gcn,3,12324,0.80625,0.9714285714285713,0.3578947368421052,0.5230769230769231,0.12160459036160058,0.2322935415431857,0.9052631578947368,0.8883524318818434,5,-1,-1,0.4945935632994456,0.5298190712928772,0.16505229473114014
gpu,augmented_kary,"AQ(2,8)",graphsage,3,12324,0.9875,1.0,0.9578947368421051,0.978078078078078,0.015460683322362029,0.08561780490786537,1.0,0.978078078078078,20,10,-1,0.7370954655863946,0.3603748381137848,0.3889310657978058
gpu,augmented_kary,"AQ(2,8)",gat,3,12324,0.8,0.9428571428571428,0.3473684210526316,0.5076923076923078,0.1296707037907927,0.25741930096410215,0.8736842105263157,0.7639720902012337,5,-1,-1,0.45125595650178524,0.5394713878631592,0.1762685775756836
