profile,topology,variant,drop_feature,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std,topk_mean,topk_std,best_f1_mean,best_f1_std,best_f1_epoch_mean,best_f1_epoch_std,epoch_to_f1_095_mean,epoch_to_f1_095_std,epoch_to_f1_099_mean,epoch_to_f1_099_std,mean_f1_over_epochs_mean,mean_f1_over_epochs_std,final_train_loss_mean,final_train_loss_std,loss_reduction_mean,loss_reduction_std
gpu,"AQ(2,8)",full,none,3,0.99953125,0.00027063293868258325,0.9991666666666666,0.0007637626158259861,0.999298245614035,0.0006077371254627915,0.9992072842072842,0.0004482927355618959,0.00047547038098112157,0.00022914552170735274,0.0006101904363310184,0.00014838384671711535,0.9994736842105263,0.000526315789473708,0.9993023793023793,0.0003081581177297904,11.666666666666666,2.8867513459481287,2.3333333333333335,2.309401076758503,5.0,0.0,0.9958533288791251,0.0026110384361891182,0.0023152508855716967,0.0012197276078844408,0.6435023383065916,0.016416220549956836
gpu,"AQ(2,8)",w/o dispersion,dispersion,3,0.9990104166666667,0.00023867581744561764,0.9981666666666666,0.0012583057392118737,0.9985964912280701,0.001215474250925583,0.9983391083391082,0.00039896221029250817,0.0008290894251336754,0.0003751955175684562,0.0013585938417783904,0.00038693459241139426,0.9987719298245613,0.0010956136839295931,0.998955878955879,0.0004641725332375239,10.0,0.0,2.3333333333333335,2.309401076758503,5.0,0.0,0.985237092059907,0.01902557802684778,0.010324943600045074,0.002096972656378245,0.6377048208932614,0.008717301149341135
gpu,"AQ(2,8)",w/o match ratio,match,3,0.999375,0.00015624999999996891,0.9988333333333335,0.0007637626158259498,0.9991228070175439,0.0008039606482379031,0.9989462539462539,0.0002569879732800539,0.0004928388240830395,0.00026776734402950944,0.0006771916445771193,0.00023432860286339718,0.9996491228070176,0.0006077371254627915,0.9994825594825595,0.0002633706563536508,20.0,17.320508075688775,3.6666666666666665,2.309401076758503,5.0,0.0,0.9840764655017684,0.017674192445240627,0.0023353725936474455,0.0010416592458183749,0.653383198070168,0.0238067396264774
gpu,"AQ(2,8)",w/o mismatch ratio,mismatch,3,0.999375,0.00015624999999996891,0.9986666666666667,0.0007637626158259619,0.999298245614035,0.0006077371254627915,0.998950873950874,0.0002497323330236226,0.0004970707161773687,0.0002402612049906892,0.0006543766303550915,0.00015810557994097753,0.9996491228070176,0.00030386856273139577,0.9993023793023793,0.0003081581177297904,25.0,18.027756377319946,3.6666666666666665,2.309401076758503,5.0,0.0,0.9743472966818042,0.019667152400054237,0.0025795503416226155,0.0011805775487399729,0.6487284696143304,0.014001465614755447
gpu,Q6,full,none,3,0.9996354166666667,0.00018042195912178625,0.9995,0.0004999999999999449,0.999298245614035,0.00030386856273139577,0.9993832293832293,0.0003001581126501661,0.0002961590856805386,0.00015039789440925903,0.0003727025593692279,0.00013975326738831017,1.0,0.0,0.9997435897435898,0.0002564102564102111,18.333333333333332,7.637626158259733,1.0,0.0,1.0,0.0,0.9990411383488307,0.0003942297700749909,0.0022653406077941846,0.0011979668273258749,0.6639946038311402,0.0139125587092168
gpu,Q6,w/o dispersion,dispersion,3,0.9996875,0.00031249999999999334,0.9994912280701754,0.0005132141219757768,0.9994736842105263,0.000526315789473708,0.9994734410523884,0.0005264981686052426,0.00025623232107883134,0.00024103991397990388,0.0004043529281082728,0.00019061262926531715,0.9998245614035087,0.00030386856273139577,0.9996490012279486,0.00039755859187815066,18.333333333333332,7.637626158259733,3.6666666666666665,2.309401076758503,3.6666666666666665,2.309401076758503,0.9699712470773348,0.027105220620597135,0.006992476936873226,0.0002838004205286258,0.661648326786235,0.06752286919169918
gpu,Q6,w/o match ratio,match,3,0.9995833333333334,0.00023867581744562976,0.9995,0.0004999999999999449,0.9991228070175439,0.00030386856273139577,0.9992931392931392,0.0003992429860245214,0.0003936359696876139,0.0002362510725480583,0.0004389145251350337,0.00022401597269509994,0.9998245614035087,0.00030386856273139577,0.9997435897435898,0.0002564102564102111,18.333333333333332,7.637626158259733,5.0,0.0,5.0,0.0,0.9363213928659273,0.023965868608839355,0.0030839645301706953,0.0017054704596792232,0.684033711410025,0.03613447049740827
gpu,Q6,w/o mismatch ratio,mismatch,3,0.9995833333333334,0.00023867581744562976,0.9995,0.0004999999999999449,0.9991228070175439,0.00030386856273139577,0.9992931392931392,0.0003992429860245214,0.0003743836045365894,0.00021797004573191235,0.0004351181957173495,0.0002066076573807111,1.0,0.0,0.9996581196581197,0.00014803853056141633,13.333333333333334,10.408329997330664,3.6666666666666665,2.309401076758503,3.6666666666666665,2.309401076758503,0.9616939390785545,0.037919966776216944,0.0022937203152867455,0.0011080235066587207,0.6664620380610619,0.06760878546485788
gpu,Q8^2,full,none,3,0.9982291666666666,0.0005022734771350132,0.9980071010860485,0.0013363628107603716,0.996140350877193,0.002700842862866658,0.9969967720757194,0.0008815242173101943,0.0013356883323586532,0.00033306339432655907,0.002464596702282592,0.00029996842378423797,0.999298245614035,0.0006077371254627915,0.9972670423459896,0.0006853000253480553,46.666666666666664,12.583057392117917,3.6666666666666665,2.309401076758503,8.333333333333334,2.8867513459481287,0.9809850786851094,0.018444426083632684,0.007146692555536338,0.0016384727236693976,0.6470727616875332,0.009034871566262377
gpu,Q8^2,w/o dispersion,dispersion,3,0.9973958333333333,0.0005487319662944149,0.9960279106858054,0.002419116154150201,0.9954385964912281,0.0008039606482377941,0.9956187415815143,0.0008631839503211287,0.002095782642236018,4.122074152633103e-05,0.004098085151165886,0.0001982775299720549,0.9989473684210526,0.000526315789473708,0.996213071370966,0.0006040123722251637,51.666666666666664,14.433756729740644,5.0,0.0,10.0,0.0,0.9883605654602626,0.0031070675808977325,0.021896130067207628,0.003231142676796792,0.644941721139254,0.013453896971034406
