profile,family,topology,variant,drop_feature,run,seed,accuracy,precision,recall,f1,brier,ece,topk,best_f1,best_f1_epoch,epoch_to_f1_095,epoch_to_f1_099,mean_f1_over_epochs,final_train_loss,loss_reduction
gpu,hypercube,Q6,full,none,1,8300,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.00012513978560524432,0.00021628375610399842,1.0,1.0,10,1,1,0.9994877125646356,0.0024908609297459145,0.660263879104085
gpu,hypercube,Q6,w/o match ratio,match,1,8300,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.00012989645409513886,0.0001931385021319969,1.0,1.0,20,5,5,0.9228130497361267,0.0014161636271247907,0.7154522028868087
gpu,hypercube,Q6,w/o mismatch ratio,mismatch,1,8300,0.99984375,1.0,0.9994736842105263,0.9997297297297297,0.00014825889903516157,0.00021722020404728673,1.0,0.9997435897435898,5,5,5,0.922790127405512,0.0024136961520915584,0.7236557542263264
gpu,hypercube,Q6,w/o dispersion,dispersion,1,8300,1.0,1.0,1.0,1.0,4.127371259891137e-05,0.00021849641230042684,1.0,1.0,10,5,5,0.9445721256441555,0.007035388677780118,0.7130738697014749
gpu,hypercube,Q6,full,none,2,9304,0.99953125,0.9990000000000001,0.9994736842105263,0.9992169092169092,0.00040781880061401286,0.0004852753751877701,1.0,0.9994871794871796,25,1,1,0.9987413939721632,0.003334519513633235,0.6523277616589829
gpu,hypercube,Q6,w/o match ratio,match,2,9304,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.0005858851131746058,0.0006316506998918576,1.0,0.9994871794871796,25,5,5,0.9221589117925151,0.004824760565367926,0.6921017395507079
gpu,hypercube,Q6,w/o mismatch ratio,mismatch,2,9304,0.999375,0.9990000000000001,0.9989473684210526,0.9989466389466389,0.0005831624867260129,0.0006281925326094027,1.0,0.9994871794871796,25,1,1,0.9985468207006669,0.003336873566565503,0.68388264400502
gpu,hypercube,Q6,w/o dispersion,dispersion,2,9304,0.9996875,0.9995,0.9994736842105263,0.9994733194733194,0.00021059455373067008,0.0003951724641307464,1.0,0.9997297297297297,25,1,1,0.9985092565092565,0.006689664325676858,0.6866888607951945
gpu,hypercube,Q6,full,none,3,10308,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.00035551867082235863,0.0004165485468159151,1.0,0.9997435897435898,20,1,1,0.9988943085096931,0.000970641380003404,0.6793921707303525
gpu,hypercube,Q6,w/o match ratio,match,3,10308,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.000465126341793097,0.0004919543733812467,0.9994736842105263,0.9997435897435898,10,5,5,0.9639922170691402,0.0030109693980193697,0.6445471917925586
gpu,hypercube,Q6,w/o mismatch ratio,mismatch,3,10308,0.99953125,0.9995,0.9989473684210526,0.9992030492030491,0.0003917294278485937,0.00045994185049535915,1.0,0.9997435897435898,10,5,5,0.9637448691294844,0.0011305912272031751,0.5918477159518392
gpu,hypercube,Q6,w/o dispersion,dispersion,3,10308,0.999375,0.9989736842105263,0.9989473684210526,0.9989470036838458,0.0005168286969069125,0.0005993899078936451,0.9994736842105263,0.9992172739541161,20,5,5,0.9668323590785924,0.007252377807162702,0.5851822498620355
gpu,kary,Q8^2,full,none,1,8312,0.99859375,0.9984736842105264,0.9968421052631578,0.9976095123463544,0.0014678952939206514,0.0027212234110115924,0.9989473684210526,0.9978797826166247,45,5,10,0.95976285879426,0.007696973559047494,0.654447670360761
gpu,kary,Q8^2,w/o match ratio,match,1,8312,0.9984375,0.9974736842105263,0.9973684210526315,0.9973669621038042,0.001559879784210802,0.002801073648922489,0.9989473684210526,0.9973669621038042,55,1,10,0.9933195773779071,0.00907580035605601,0.657516167499125
