profile,variant,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std,topk_mean,topk_std,best_f1_mean,best_f1_std,best_f1_epoch_mean,best_f1_epoch_std,epoch_to_f1_095_mean,epoch_to_f1_095_std,epoch_to_f1_099_mean,epoch_to_f1_099_std,mean_f1_over_epochs_mean,mean_f1_over_epochs_std,final_train_loss_mean,final_train_loss_std,loss_reduction_mean,loss_reduction_std,refinement_change_rate_mean,refinement_change_rate_std,refinement_corrected_rate_mean,refinement_corrected_rate_std,refinement_wrong_flip_rate_mean,refinement_wrong_flip_rate_std
gpu,full,9,0.9990,0.0010,0.9986,0.0017,0.9982,0.0019,0.9984,0.0016,0.0007,0.0006,0.0012,0.0012,0.9997,0.0005,0.9986,0.0014,31.6667,20.3101,4,2,6,2,0.9793,0.0263,0.0038,0.0031,0.6514,0.0206,0.0082,0.0069,0.0489,0.0386,0.0111,0.0154
gpu,w/o posterior refinement,9,0.9984,0.0014,0.9982,0.0019,0.9966,0.0033,0.9973,0.0023,0.0012,0.0009,0.0020,0.0015,0.9991,0.0013,0.9976,0.0019,51.1111,9.6105,6,2,13,7,0.9201,0.0087,0.0038,0.0031,0.6514,0.0206,0.0082,0.0069,0.0489,0.0386,0.0111,0.0154
