profile,fault_rate,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std
gpu,0.1,Clustered-PMC,3,0.9195,0.0110,0.9667,0.0577,0.1925,0.1102,0.2687,0.1032,0.0805,0.0110,0.0000,0.0000
gpu,0.1,UP-GDN,3,0.9249,0.0424,0.3330,0.5768,0.2464,0.4268,0.2741,0.4748,0.2207,0.0293,0.3901,0.0647
