profile,fault_rate,topology,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std
gpu,0.1,"AQ(5,4)",Clustered-PMC,3,0.9121333333333334,0.006387748690527296,0.9333333333333333,0.11547005383792512,0.11766666666666666,0.06412490415847288,0.18066666666666667,0.08851227786772484,0.08786666666666668,0.006387748690527307,0.0,0.0
gpu,0.1,"AQ(5,4)",UP-GDN,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004566666666666667,0.005928181283777794,0.05483333333333333,0.04050337434502629
gpu,0.1,Q10,Clustered-PMC,3,0.9266666666666666,0.03036977664279625,1.0,0.0,0.26406666666666667,0.30483366502624565,0.3532,0.34332707437660664,0.07333333333333333,0.030369776642796262,0.0,0.0
gpu,0.1,Q10,UP-GDN,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0017333333333333333,0.00030550504633038936,0.03933333333333334,0.003259345537578569
gpu,0.1,Q4^5,Clustered-PMC,3,0.9431666666666667,0.009778718389100547,1.0,0.0,0.4294,0.09793120033983042,0.5416666666666666,0.11680245431211334,0.05683333333333333,0.009778718389100558,0.0,0.0
gpu,0.1,Q4^5,UP-GDN,3,0.9999333333333333,0.00011547005383791243,1.0,0.0,0.9993333333333333,0.0011547005383792525,0.9996666666666667,0.0005773502691896262,0.002,0.0008544003745317531,0.040600000000000004,0.008250454532933322
gpu,0.15,"AQ(5,4)",Clustered-PMC,3,0.8656333333333334,0.00613297100379036,0.8666666666666667,0.11547005383792512,0.10646666666666667,0.040555681887170056,0.17003333333333331,0.051868326880027016,0.13436666666666666,0.0061329710037903665,0.0,0.0
gpu,0.15,"AQ(5,4)",UP-GDN,3,0.9502,0.0,1.0,0.0,0.6688,0.0,0.8016,0.0,0.037,0.003686461718233354,0.10713333333333333,0.0018009256878986836
gpu,0.15,Q10,Clustered-PMC,3,0.9056,0.030732230638207816,1.0,0.0,0.37229999999999996,0.2046000244379262,0.4780333333333333,0.21669370856887687,0.0944,0.030732230638207833,0.0,0.0
gpu,0.15,Q10,UP-GDN,3,0.9502,0.0,1.0,0.0,0.6688,0.0,0.8016,0.0,0.03706666666666667,0.003265475973473596,0.10160000000000001,0.009539392014169456
gpu,0.15,Q4^5,Clustered-PMC,3,0.8902,0.011252999600106653,1.0,0.0,0.27013333333333334,0.0748028297147463,0.3833,0.07691579811716187,0.1098,0.011252999600106636,0.0,0.0
gpu,0.15,Q4^5,UP-GDN,3,0.9502,0.0,1.0,0.0,0.6688,0.0,0.8016,0.0,0.03676666666666667,0.005391041952473876,0.0966,0.010722406446316045
gpu,0.2,"AQ(5,4)",Clustered-PMC,3,0.839,0.018219769482625214,0.9333333333333333,0.11547005383792512,0.19576666666666667,0.09087273151684906,0.26403333333333334,0.11480114691645435,0.161,0.018219769482625183,0.0,0.0
gpu,0.2,"AQ(5,4)",UP-GDN,3,0.9279333333333334,0.044692318504787096,1.0,0.0,0.64,0.22326164023405362,0.7616666666666666,0.14830146099527589,0.04703333333333333,0.022421492665149065,0.14003333333333334,0.02874549240025875
gpu,0.2,Q10,Clustered-PMC,3,0.8709666666666667,0.009222978549976835,1.0,0.0,0.3554333333333333,0.046284590668313495,0.46486666666666665,0.08731576795363674,0.12903333333333333,0.009222978549976862,0.0,0.0
gpu,0.2,Q10,UP-GDN,3,0.9099,0.008261355820929173,1.0,0.0,0.5499333333333333,0.04134940547738667,0.7051333333333333,0.031844832129143574,0.05706666666666667,0.008064944719794012,0.15813333333333335,0.016269398677681148
gpu,0.2,Q4^5,Clustered-PMC,3,0.8542333333333333,0.029944170272915117,1.0,0.0,0.27186666666666665,0.14957731557068848,0.3775666666666667,0.1734391055481241,0.14576666666666666,0.029944170272915106,0.0,0.0
gpu,0.2,Q4^5,UP-GDN,3,0.9023333333333333,0.003348631561299845,1.0,0.0,0.5121666666666667,0.01691636288725603,0.6770999999999999,0.014376021702821701,0.06583333333333333,0.011633715370995343,0.1242,0.05153552173016201
