profile,fault_rate,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std
gpu,0.1,Clustered-PMC,9,0.9273222222222223,0.02110697620324722,0.9777777777777777,0.06666666666666665,0.2703777777777778,0.21189558618443294,0.3585111111111111,0.24349277938187636,0.07267777777777779,0.02110697620324722,0.0,0.0
gpu,0.1,UP-GDN,9,0.9999777777777777,6.666666666665932e-05,1.0,0.0,0.9997777777777778,0.0006666666666666673,0.9998888888888889,0.00033333333333333365,0.002766666666666667,0.0032905166767545793,0.044922222222222224,0.022030874799799587
gpu,0.15,Clustered-PMC,9,0.8871444444444444,0.024123231080802113,0.9555555555555556,0.08819171036881966,0.24963333333333332,0.1605050466496303,0.34378888888888887,0.18043216484626878,0.11285555555555556,0.02412323108080213,0.0,0.0
gpu,0.15,UP-GDN,9,0.9502,0.0,1.0,0.0,0.6688,0.0,0.8016,0.0,0.036944444444444446,0.003653461068326551,0.10177777777777779,0.008551283204551492
gpu,0.2,Clustered-PMC,9,0.8547333333333333,0.02280701646423749,0.9777777777777777,0.06666666666666665,0.2743555555555556,0.11391609973036199,0.3688222222222222,0.14257194480136842,0.14526666666666666,0.022807016464237488,0.0,0.0
gpu,0.2,UP-GDN,9,0.9133888888888889,0.025474371652920352,1.0,0.0,0.5673666666666667,0.1272610898900367,0.7146333333333333,0.08482451001921557,0.05664444444444444,0.015561098218884737,0.14078888888888888,0.03395509698279643
gpu,0.25,Clustered-PMC,9,0.8158,0.03165773996987151,1.0,0.0,0.2632,0.12664465049894527,0.37793333333333334,0.15645795761162165,0.1842,0.03165773996987151,0.0,0.0
gpu,0.25,UP-GDN,9,0.9326222222222222,0.07786009532773795,1.0,0.0,0.7304444444444445,0.3114930541405021,0.8084444444444444,0.22268183082096704,0.05085555555555556,0.039915226139629695,0.1563,0.06290272251659701
gpu,0.3,Clustered-PMC,9,0.7703555555555556,0.033506496053418905,1.0,0.0,0.23395555555555556,0.11175808819847348,0.34850000000000003,0.143186312194986,0.22965555555555556,0.03350709294728174,0.0,0.0
gpu,0.3,UP-GDN,9,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0269,0.009749230738883966,0.12892222222222222,0.02680241489949076
gpu,0.35,Clustered-PMC,9,0.7287444444444444,0.04915880163081458,1.0,0.0,0.22413333333333332,0.14063651730613924,0.3243333333333333,0.1685289589358458,0.2712555555555556,0.049158801630814576,0.0,0.0
gpu,0.35,UP-GDN,9,0.9999555555555556,0.00013333333333331865,1.0,0.0,0.9998777777777778,0.0003666666666666633,0.9999333333333333,0.00020000000000001497,0.0373,0.009013600834294805,0.15083333333333335,0.02454231040468684
gpu,0.4,Clustered-PMC,9,0.6933,0.04176326136689997,0.9995,0.001499999999999983,0.23404444444444444,0.10432816147990809,0.33797777777777777,0.1388295427653799,0.30670000000000003,0.04176326136689998,0.0,0.0
gpu,0.4,UP-GDN,9,0.9998,0.0002828427124746173,0.9997222222222223,0.0005068968775248292,0.9997777777777778,0.0003632415786283792,0.9997555555555556,0.00035394600969324567,0.05316666666666667,0.014224538656842268,0.18343333333333334,0.03581047332834349
gpu,0.45,Clustered-PMC,9,0.6392666666666666,0.04650524164005601,0.9997666666666667,0.0004795831523312664,0.1987888888888889,0.10333827273140922,0.29815555555555556,0.12570047843098203,0.36073333333333335,0.046505241640056025,0.0,0.0
gpu,0.45,UP-GDN,9,0.9996,0.00044721359549995833,0.9992333333333333,0.000887411967464964,0.9999111111111111,0.00017638342073761994,0.9995666666666667,0.0004924428900898017,0.057833333333333334,0.013384412575828647,0.2025,0.027822023650338586
gpu,0.5,Clustered-PMC,9,0.604,0.05786466970440599,0.9769666666666666,0.0663819252507789,0.20815555555555557,0.11593697761188092,0.30616666666666664,0.15053321062144392,0.396,0.05786466970440598,0.0,0.0
gpu,0.5,UP-GDN,9,0.9983,0.0018748333259252727,0.9974222222222222,0.0025655300513625725,0.9992111111111112,0.0013678856352455381,0.9983,0.0018748333259252727,0.06643333333333333,0.01402230366238016,0.21838888888888888,0.024670196819464398
