profile,fault_rate,topology,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std
gpu,0.4,"AQ(5,4)",Clustered-PMC,3,0.6530,0.0121,0.9933,0.0058,0.1335,0.0303,0.1974,0.0344,0.3470,0.0121,0.0000,0.0000
gpu,0.4,"AQ(5,4)",UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.4,Q10,Clustered-PMC,3,0.7124,0.0059,0.9999,0.0001,0.2818,0.0149,0.3985,0.0143,0.2876,0.0059,0.0000,0.0000
gpu,0.4,Q10,UP-GDN,3,1.0000,0.0001,1.0000,0.0001,0.9999,0.0000,0.9999,0.0001,0.0000,0.0000,0.0000,0.0001
gpu,0.4,Q4^5,Clustered-PMC,3,0.7192,0.0031,0.9998,0.0002,0.2987,0.0078,0.4234,0.0105,0.2808,0.0031,0.0000,0.0000
gpu,0.4,Q4^5,UP-GDN,3,1.0000,0.0000,1.0000,0.0001,1.0000,0.0001,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.45,"AQ(5,4)",Clustered-PMC,3,0.6073,0.0061,0.9867,0.0058,0.1277,0.0135,0.1978,0.0173,0.3927,0.0061,0.0000,0.0000
gpu,0.45,"AQ(5,4)",UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.45,Q10,Clustered-PMC,3,0.6844,0.0092,0.9996,0.0003,0.2991,0.0206,0.4207,0.0233,0.3156,0.0092,0.0000,0.0000
gpu,0.45,Q10,UP-GDN,3,0.9999,0.0000,0.9999,0.0000,0.9999,0.0001,0.9999,0.0000,0.0001,0.0000,0.0001,0.0001
gpu,0.45,Q4^5,Clustered-PMC,3,0.6937,0.0121,0.9995,0.0002,0.3198,0.0268,0.4401,0.0265,0.3063,0.0121,0.0000,0.0000
gpu,0.45,Q4^5,UP-GDN,3,0.9999,0.0000,0.9999,0.0001,0.9999,0.0001,0.9999,0.0000,0.0001,0.0001,0.0001,0.0000
gpu,0.5,"AQ(5,4)",Clustered-PMC,3,0.5646,0.0185,0.9900,0.0100,0.1291,0.0371,0.1955,0.0423,0.4354,0.0185,0.0000,0.0000
gpu,0.5,"AQ(5,4)",UP-GDN,3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gpu,0.5,Q10,Clustered-PMC,3,0.6483,0.0192,0.9988,0.0003,0.2969,0.0384,0.4213,0.0421,0.3517,0.0192,0.0000,0.0000
gpu,0.5,Q10,UP-GDN,3,0.9997,0.0001,0.9998,0.0001,0.9997,0.0001,0.9997,0.0001,0.0002,0.0000,0.0003,0.0001
gpu,0.5,Q4^5,Clustered-PMC,3,0.6452,0.0013,0.9989,0.0003,0.2906,0.0026,0.4140,0.0061,0.3548,0.0013,0.0000,0.0000
gpu,0.5,Q4^5,UP-GDN,3,0.9997,0.0001,0.9998,0.0002,0.9997,0.0001,0.9997,0.0001,0.0002,0.0000,0.0004,0.0001
