profile,fault_rate,family,topology,method,run,seed,accuracy,precision,recall,f1,brier,ece
gpu,0.2,kary,Q4^5,UP-GDN,3,8446,0.9004,1.0,0.5024,0.6688,0.0789,0.0647
gpu,0.2,kary,Q4^5,Clustered-PMC,3,8446,0.8207,1.0,0.1044,0.1826,0.1793,0.0
gpu,0.2,augmented_kary,"AQ(5,4)",UP-GDN,1,6448,0.9795,1.0,0.8976,0.9327,0.0214,0.1075
gpu,0.2,augmented_kary,"AQ(5,4)",Clustered-PMC,1,6448,0.8596,0.8,0.2985,0.3934,0.1404,0.0
gpu,0.2,augmented_kary,"AQ(5,4)",UP-GDN,2,7450,0.9004,1.0,0.5024,0.6688,0.063,0.162
gpu,0.2,augmented_kary,"AQ(5,4)",Clustered-PMC,2,7450,0.8324,1.0,0.1629,0.2244,0.1676,0.0
gpu,0.2,augmented_kary,"AQ(5,4)",UP-GDN,3,8452,0.9039,1.0,0.52,0.6835,0.0567,0.1506
gpu,0.2,augmented_kary,"AQ(5,4)",Clustered-PMC,3,8452,0.825,1.0,0.1259,0.1743,0.175,0.0
gpu,0.25,hypercube,Q10,UP-GDN,1,6504,0.9998,1.0,0.9992,0.9996,0.0142,0.0973
gpu,0.25,hypercube,Q10,Clustered-PMC,1,6504,0.8498,1.0,0.3992,0.5495,0.1502,0.0
gpu,0.25,hypercube,Q10,UP-GDN,2,7506,0.9914,1.0,0.9656,0.9812,0.0158,0.0962
gpu,0.25,hypercube,Q10,Clustered-PMC,2,7506,0.8262,1.0,0.3047,0.4549,0.1738,0.0
gpu,0.25,hypercube,Q10,UP-GDN,3,8508,1.0,1.0,1.0,1.0,0.0307,0.1382
gpu,0.25,hypercube,Q10,Clustered-PMC,3,8508,0.8344,1.0,0.3375,0.4783,0.1656,0.0
gpu,0.25,kary,Q4^5,UP-GDN,1,6510,0.8506,1.0,0.4023,0.5738,0.0972,0.2205
gpu,0.25,kary,Q4^5,Clustered-PMC,1,6510,0.7971,1.0,0.1883,0.2944,0.2029,0.0
gpu,0.25,kary,Q4^5,UP-GDN,2,7512,0.8506,1.0,0.4023,0.5738,0.0873,0.2086
gpu,0.25,kary,Q4^5,Clustered-PMC,2,7512,0.8119,1.0,0.2477,0.3853,0.1881,0.0
gpu,0.25,kary,Q4^5,UP-GDN,3,8514,0.8506,1.0,0.4023,0.5738,0.0987,0.233
gpu,0.25,kary,Q4^5,Clustered-PMC,3,8514,0.8611,1.0,0.4445,0.5751,0.1389,0.0
gpu,0.25,augmented_kary,"AQ(5,4)",UP-GDN,1,6516,1.0,1.0,1.0,1.0,0.012,0.09
gpu,0.25,augmented_kary,"AQ(5,4)",Clustered-PMC,1,6516,0.7713,1.0,0.0852,0.1508,0.2287,0.0
gpu,0.25,augmented_kary,"AQ(5,4)",UP-GDN,2,7518,0.8506,1.0,0.4023,0.5738,0.0862,0.2208
gpu,0.25,augmented_kary,"AQ(5,4)",Clustered-PMC,2,7518,0.7711,1.0,0.0844,0.1483,0.2289,0.0
gpu,0.25,augmented_kary,"AQ(5,4)",UP-GDN,3,8520,1.0,1.0,1.0,1.0,0.0156,0.1021
gpu,0.25,augmented_kary,"AQ(5,4)",Clustered-PMC,3,8520,0.8193,1.0,0.2773,0.3648,0.1807,0.0
gpu,0.3,hypercube,Q10,UP-GDN,1,6572,1.0,1.0,1.0,1.0,0.0255,0.1275
gpu,0.3,hypercube,Q10,Clustered-PMC,1,6572,0.7703,1.0,0.2339,0.3501,0.2297,0.0
gpu,0.3,hypercube,Q10,UP-GDN,2,7574,1.0,1.0,1.0,1.0,0.026,0.1258
gpu,0.3,hypercube,Q10,Clustered-PMC,2,7574,0.8299,1.0,0.4326,0.5764,0.1701,0.0
